               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099996,            0.044349,                   0,             0.40546,             0.52172,             0.38447,             0.11574,            0.057331,            0.054956,                   0,            0.070306,           0.0032993,           0.0032993
                   1,             0.06377,            0.038679,                   0,             0.75521,              0.7566,             0.77842,             0.28575,            0.047855,            0.039298,                   0,            0.039649,            0.005976,            0.005976
                   2,             0.05755,              0.0364,                   0,             0.52535,             0.63967,               0.614,             0.22814,            0.047484,            0.040072,                   0,           0.0083329,           0.0079927,           0.0079927
                   3,            0.047937,            0.033247,                   0,             0.87181,             0.83847,             0.90572,             0.51096,            0.036644,            0.034748,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.044034,             0.03049,                   0,             0.93215,              0.8891,             0.94158,             0.55128,            0.032791,             0.03223,                   0,             0.00703,             0.00703,             0.00703
                   5,              0.0397,            0.028753,                   0,              0.9312,             0.88815,             0.94663,             0.58586,            0.028817,            0.031301,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.036393,            0.027314,                   0,              0.9454,             0.91159,             0.95875,              0.6103,            0.028087,            0.028706,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.034376,            0.026503,                   0,             0.95469,             0.92016,             0.96361,             0.59756,            0.026612,            0.028215,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.03228,            0.025202,                   0,             0.95961,             0.92356,             0.96849,             0.63446,            0.024031,            0.026712,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.030594,            0.024969,                   0,             0.95784,             0.92759,             0.96915,              0.6313,            0.024554,            0.026625,                   0,             0.00208,             0.00208,             0.00208
