               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10447,            0.095992,                   0,             0.39362,             0.48723,             0.37342,             0.11676,            0.076025,            0.077942,                   0,            0.067337,          0.00032993,          0.00032993
                   1,            0.069019,            0.069108,                   0,             0.63892,             0.63827,             0.63926,             0.25078,             0.06008,            0.061141,                   0,             0.03433,           0.0006567,           0.0006567
                   2,             0.06034,            0.064484,                   0,             0.64537,              0.7074,             0.69166,             0.29013,            0.059191,            0.058568,                   0,            0.001317,          0.00097687,          0.00097687
                   3,             0.05366,            0.061087,                   0,              0.7667,             0.77651,             0.78708,             0.27417,             0.05424,            0.058857,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,            0.048757,            0.057597,                   0,             0.87382,             0.84756,             0.90111,             0.49511,            0.038497,            0.053667,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,            0.046354,            0.056238,                   0,             0.88873,              0.8614,             0.91098,             0.35447,            0.046771,            0.053145,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,            0.044176,            0.054921,                   0,             0.89692,              0.8628,             0.92145,              0.4619,            0.042231,             0.05189,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,            0.042552,            0.053882,                   0,             0.92314,             0.88344,             0.93944,             0.46775,            0.039819,             0.05035,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,            0.041198,            0.051338,                   0,             0.92268,             0.89814,             0.94565,             0.50605,            0.035949,             0.04937,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,            0.040217,            0.051645,                   0,             0.93256,             0.89582,              0.9479,             0.51967,            0.037213,            0.049269,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,            0.039068,            0.049284,                   0,             0.94123,              0.9063,             0.95469,             0.50222,             0.03652,            0.047548,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,            0.038369,            0.049021,                   0,             0.94664,              0.9072,              0.9551,             0.52177,            0.035978,            0.047364,                   0,            0.000901,            0.000901,            0.000901
                  12,             0.03786,            0.049822,                   0,               0.943,             0.91416,             0.95588,              0.4327,            0.039346,             0.04744,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,            0.036994,            0.047952,                   0,             0.94575,             0.92013,             0.96007,             0.45367,            0.037732,             0.04691,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,            0.036294,            0.047628,                   0,             0.94516,             0.92277,             0.96164,              0.5112,            0.035406,            0.046447,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,            0.036133,            0.047529,                   0,             0.94612,             0.92931,             0.96364,             0.47779,            0.034769,            0.046193,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,            0.035386,            0.045964,                   0,              0.9546,             0.92626,             0.96708,             0.57369,            0.031321,            0.044547,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,            0.034681,             0.04598,                   0,             0.95651,             0.92607,             0.96778,             0.57843,             0.03044,            0.043823,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,            0.034594,            0.046459,                   0,              0.9558,             0.92797,             0.96914,             0.55047,            0.031619,            0.044583,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,            0.034022,             0.04538,                   0,             0.95815,             0.92922,             0.97072,             0.58383,            0.030288,            0.043588,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,            0.033696,            0.044471,                   0,             0.96061,              0.9294,             0.97094,             0.59516,            0.029722,            0.043002,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,            0.033499,            0.044435,                   0,             0.96515,             0.92721,             0.97096,             0.54999,            0.032184,            0.043618,                   0,            0.000802,            0.000802,            0.000802
                  22,            0.033064,            0.043967,                   0,             0.96014,             0.94098,             0.97471,             0.59471,            0.029662,            0.042875,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,            0.032852,            0.043865,                   0,             0.95768,             0.93807,             0.97404,             0.61514,            0.028054,            0.042077,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,            0.032367,            0.042585,                   0,             0.95904,             0.93998,             0.97425,             0.59668,            0.029627,              0.0426,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,            0.032528,            0.044263,                   0,             0.96445,             0.93555,             0.97524,             0.59052,            0.030289,            0.042435,                   0,           0.0007624,           0.0007624,           0.0007624
