               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082741,            0.080847,                   0,             0.69846,             0.70503,              0.6989,             0.27557,            0.057062,            0.059988,                   0,            0.067096,          0.00033236,          0.00033236
                   1,            0.053022,            0.059272,                   0,             0.83473,             0.80755,              0.8504,             0.39676,            0.049974,            0.057253,                   0,            0.034093,           0.0006624,           0.0006624
                   2,            0.047829,            0.056266,                   0,             0.89995,              0.8628,             0.91286,             0.46386,            0.038678,            0.053475,                   0,           0.0010863,          0.00098914,          0.00098914
                   3,            0.043089,            0.053348,                   0,             0.92134,             0.88948,             0.93697,             0.44274,            0.039603,             0.05035,                   0,          0.00098515,          0.00098515,          0.00098515
                   4,              0.0392,            0.049787,                   0,             0.93503,             0.90682,               0.952,             0.52848,             0.03392,             0.04782,                   0,          0.00098515,          0.00098515,          0.00098515
                   5,            0.036574,            0.047772,                   0,             0.93661,             0.91507,             0.95711,             0.57748,            0.029171,            0.046389,                   0,           0.0009802,           0.0009802,           0.0009802
                   6,            0.034839,            0.046168,                   0,             0.95084,             0.92511,             0.96555,             0.58222,            0.028588,            0.044088,                   0,          0.00097525,          0.00097525,          0.00097525
                   7,            0.033615,              0.0449,                   0,             0.95812,             0.92969,             0.97039,             0.60919,            0.027858,            0.043202,                   0,           0.0009703,           0.0009703,           0.0009703
                   8,            0.032494,            0.043766,                   0,             0.95113,             0.93087,             0.97073,             0.61586,            0.027407,            0.042686,                   0,          0.00096535,          0.00096535,          0.00096535
                   9,            0.031572,            0.042444,                   0,             0.95794,             0.93737,             0.97537,              0.6264,            0.026438,            0.041715,                   0,           0.0009604,           0.0009604,           0.0009604
                  10,            0.030924,            0.042532,                   0,             0.95945,             0.93778,             0.97685,             0.62724,            0.026845,             0.04153,                   0,          0.00095545,          0.00095545,          0.00095545
                  11,            0.030235,            0.041123,                   0,             0.96246,              0.9381,             0.97885,             0.65342,            0.024967,            0.040564,                   0,           0.0009505,           0.0009505,           0.0009505
                  12,            0.029634,            0.040935,                   0,             0.96071,             0.94571,             0.98149,             0.65068,            0.025131,            0.040208,                   0,          0.00094555,          0.00094555,          0.00094555
                  13,            0.029225,            0.040391,                   0,              0.9691,             0.94424,              0.9826,             0.65863,            0.025139,            0.039581,                   0,           0.0009406,           0.0009406,           0.0009406
                  14,            0.028781,            0.039643,                   0,             0.96629,             0.95588,             0.98475,              0.6692,            0.024241,            0.038825,                   0,          0.00093565,          0.00093565,          0.00093565
                  15,            0.028352,            0.039716,                   0,             0.96202,              0.9516,             0.98335,             0.66271,            0.024156,            0.039333,                   0,           0.0009307,           0.0009307,           0.0009307
                  16,            0.028049,            0.039356,                   0,             0.96717,             0.94798,             0.98333,             0.68023,            0.023562,            0.039089,                   0,          0.00092575,          0.00092575,          0.00092575
                  17,            0.027732,            0.039537,                   0,               0.969,             0.95046,             0.98506,             0.67566,             0.02405,             0.03857,                   0,           0.0009208,           0.0009208,           0.0009208
                  18,            0.027381,            0.039124,                   0,             0.96784,             0.95757,             0.98677,              0.6881,            0.022952,            0.037722,                   0,          0.00091585,          0.00091585,          0.00091585
                  19,            0.027396,            0.038731,                   0,             0.96962,              0.9556,             0.98667,             0.69986,            0.022417,             0.03758,                   0,           0.0009109,           0.0009109,           0.0009109
                  20,            0.026802,            0.037839,                   0,             0.97215,             0.95617,             0.98669,             0.69747,            0.022603,            0.037368,                   0,          0.00090595,          0.00090595,          0.00090595
                  21,            0.026753,            0.037816,                   0,             0.97087,             0.95893,             0.98743,             0.69983,            0.022527,            0.037316,                   0,            0.000901,            0.000901,            0.000901
                  22,            0.026644,            0.037857,                   0,             0.97635,             0.95408,             0.98841,             0.70383,            0.022336,             0.03687,                   0,          0.00089605,          0.00089605,          0.00089605
