               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082783,            0.080053,                   0,             0.69854,              0.7258,             0.70873,             0.29808,            0.054132,            0.059873,                   0,            0.067096,          0.00033236,          0.00033236
                   1,            0.053031,            0.060024,                   0,             0.81763,             0.80088,             0.84454,              0.3909,            0.051015,            0.057469,                   0,            0.034085,          0.00065471,          0.00065471
                   2,            0.047827,            0.056438,                   0,              0.8887,             0.85061,             0.90309,             0.36831,            0.048228,            0.054904,                   0,           0.0010632,          0.00096606,          0.00096606
                   3,             0.04264,            0.053299,                   0,             0.92198,             0.88986,              0.9393,             0.48389,            0.036534,            0.050181,                   0,           0.0009505,           0.0009505,           0.0009505
                   4,              0.0394,            0.050346,                   0,             0.93676,             0.90325,             0.95074,             0.45268,            0.037401,            0.048576,                   0,           0.0009505,           0.0009505,           0.0009505
                   5,            0.037208,             0.04886,                   0,             0.94222,             0.91768,              0.9584,             0.46369,            0.037071,            0.046944,                   0,            0.000934,            0.000934,            0.000934
                   6,            0.035101,            0.046179,                   0,             0.94833,             0.92759,              0.9655,             0.55523,            0.030877,            0.045147,                   0,           0.0009175,           0.0009175,           0.0009175
                   7,            0.033976,            0.045595,                   0,             0.95425,             0.92998,             0.97107,              0.5894,            0.029587,            0.043495,                   0,            0.000901,            0.000901,            0.000901
                   8,            0.032581,            0.044047,                   0,             0.95978,             0.93212,              0.9717,             0.53457,            0.032669,            0.043989,                   0,           0.0008845,           0.0008845,           0.0008845
                   9,            0.031926,            0.043585,                   0,             0.96027,             0.93495,             0.97563,             0.60964,            0.028322,            0.042058,                   0,            0.000868,            0.000868,            0.000868
                  10,             0.03126,            0.043018,                   0,             0.96481,             0.93598,             0.97719,             0.62593,            0.027219,            0.041074,                   0,           0.0008515,           0.0008515,           0.0008515
                  11,            0.030526,            0.041942,                   0,             0.96305,             0.94169,             0.97768,             0.62809,             0.02789,            0.041098,                   0,            0.000835,            0.000835,            0.000835
                  12,            0.030109,            0.041685,                   0,             0.96781,             0.93949,             0.97995,             0.64824,            0.026061,            0.039872,                   0,           0.0008185,           0.0008185,           0.0008185
                  13,            0.029763,            0.041291,                   0,             0.95814,             0.95075,              0.9812,             0.65239,            0.025766,            0.040391,                   0,            0.000802,            0.000802,            0.000802
                  14,            0.029113,            0.040386,                   0,             0.96534,             0.94569,             0.98156,             0.66161,            0.025461,            0.039747,                   0,           0.0007855,           0.0007855,           0.0007855
                  15,            0.028766,            0.039964,                   0,             0.96789,              0.9477,             0.98245,              0.6646,            0.024878,             0.03902,                   0,            0.000769,            0.000769,            0.000769
